"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1"
NA,NA,NA,NA,"pdi1","ycl043c","ORF","48653-50221","-","III","ycl043c",264.699675414593
NA,NA,NA,NA,"flc1","ypl221w","ORF","133043-135424","+","XVI","ypl221w",264.00249937632
NA,NA,NA,NA,"mes1","ygr264c","ORF","1019598-1021853","-","VII","ygr264c",263.506695067259
NA,NA,NA,NA,"gdh1","yor375c","ORF","1041678-1043042","-","XV","yor375c",262.500653573979
NA,NA,NA,NA,"hom3","yer052c","ORF","256375-257958","-","V","yer052c",262.087715448976
NA,NA,NA,NA,"ylr379w","ylr379w","ORF","876922-877296","+","XII","ylr379w",260.828513163631
NA,NA,NA,NA,"hog1","ylr113w","ORF","371620-372927","+","XII","ylr113w",260.684736774659
NA,NA,NA,NA,"grh1","ydr517w","ORF","1477239-1478357","+","IV","ydr517w",259.711655253998
NA,NA,NA,NA,"sim1","yil123w","ORF","128151-129581","+","IX","yil123w",258.75834979825
NA,NA,NA,NA,"emc2","yjr088c","ORF","586495-587373","-","X","yjr088c",257.449468053432
"egd1",0,0,1,"egd1","ypl037c","ORF","481428-481901","-","XVI","ypl037c",257.012943207042
NA,NA,NA,NA,"ydl012c","ydl012c","ORF","431108-431517","-","IV","ydl012c",254.53468228325
NA,NA,NA,NA,"fit3","yor383c","ORF","1060441-1061055","-","XV","yor383c",252.672953424606
"abp1",0,0.5,0.5,"abp1","ycr088w","ORF","265068-266846","+","III","ycr088w",252.418226369215
NA,NA,NA,NA,"erv14","ygl054c","ORF","400871-401287","-","VII","ygl054c",252.358082837271
NA,NA,NA,NA,"stp3","ylr375w","ORF","871697-872728","+","XII","ylr375w",252.347331525364
NA,NA,NA,NA,"asn1","ypr145w","ORF","822620-824338","+","XVI","ypr145w",251.243015287305
NA,NA,NA,NA,"rcf2","ynr018w","ORF","664270-664944","+","XIV","ynr018w",251.224242187993
NA,NA,NA,NA,"ydr209c","ydr209c","ORF","871036-871449","-","IV","ydr209c",247.835105844672
NA,NA,NA,NA,"ilv3","yjr016c","ORF","464451-466208","-","X","yjr016c",246.908951858498
NA,NA,NA,NA,"kes1","ypl145c","ORF","278395-279699","-","XVI","ypl145c",246.837375123302
NA,NA,NA,NA,"rpn7","ypr108w","ORF","742454-743743","+","XVI","ypr108w",246.190002289217
"vph1",0,0.5,0.5,"vph1","yor270c","ORF","828052-830574","-","XV","yor270c",246.116601332375
NA,NA,NA,NA,"tys1","ygr185c","ORF","866336-867520","-","VII","ygr185c",244.201118162763
NA,NA,NA,NA,"ett1","yor051c","ORF","424846-426084","-","XV","yor051c",243.620201853104
NA,NA,NA,NA,"nab3","ypl190c","ORF","185317-187725","-","XVI","ypl190c",243.202200033485
NA,NA,NA,NA,"frd1","yel047c","ORF","65385-66797","-","V","yel047c",241.485750808346
NA,NA,NA,NA,"arg3","yjl088w","ORF","268799-269815","+","X","yjl088w",241.305862821244
"dug1",0,1,0,"dug1","yfr044c","ORF","239992-241437","-","VI","yfr044c",241.073079193298
NA,NA,NA,NA,"ynl046w","ynl046w","ORF","542304-542822","+","XIV","ynl046w",240.28317077997
NA,NA,NA,NA,"bna3","yjl060w","ORF","323386-324720","+","X","yjl060w",239.324179684195
NA,NA,NA,NA,"ydr467c","ydr467c","ORF","1397583-1397909","-","IV","ydr467c",238.730688900937
NA,NA,NA,NA,"thr1","yhr025w","ORF","159438-160511","+","VIII","yhr025w",238.709907816349
"met16",0,1,0,"met16","ypr167c","ORF","876847-877632","-","XVI","ypr167c",238.389825025893
NA,NA,NA,NA,"rpl7b","ypl198w","ORF","173152-174702","+","XVI","ypl198w",238.375784924839
NA,NA,NA,NA,"sec31","ydl195w","ORF","107208-111029","+","IV","ydl195w",237.549198682054
NA,NA,NA,NA,"arp3","yjr065c","ORF","557809-559158","-","X","yjr065c",236.192509085859
NA,NA,NA,NA,"adi1","ymr009w","ORF","284102-284641","+","XIII","ymr009w",235.629363796489
NA,NA,NA,NA,"cap2","yil034c","ORF","289226-290089","-","IX","yil034c",235.474104459922
NA,NA,NA,NA,"arc35","ynr035c","ORF","693019-694047","-","XIV","ynr035c",233.780253180833
NA,NA,NA,NA,"srv2","ynl138w","ORF","366741-368321","+","XIV","ynl138w",232.396207220704
NA,NA,NA,NA,"dut1","ybr252w","ORF","722611-723054","+","II","ybr252w",231.169115704601
"gpx2",0,0,1,"gpx2","ybr244w","ORF","707528-708016","+","II","ybr244w",230.504552219013
NA,NA,NA,NA,"eeb1","ypl095c","ORF","368071-369441","-","XVI","ypl095c",230.232924372314
NA,NA,NA,NA,"sur7","yml052w","ORF","170402-171310","+","XIII","yml052w",229.808229867843
NA,NA,NA,NA,"arg80","ymr042w","ORF","352603-353136","+","XIII","ymr042w",229.395432251649
NA,NA,NA,NA,"plb3","yol011w","ORF","305349-307409","+","XV","yol011w",228.765481454078
NA,NA,NA,NA,"bdf1","ylr399c","ORF","919536-921596","-","XII","ylr399c",228.589189804991
NA,NA,NA,NA,"bfr1","yor198c","ORF","718653-720065","-","XV","yor198c",227.937898705767
NA,NA,NA,NA,"ucc1","ylr224w","ORF","586464-587573","+","XII","ylr224w",226.004760132946
NA,NA,NA,NA,"hhf1","ybr009c","ORF","255373-255684","-","II","ybr009c",225.367113705455
"ade12",0,1,0,"ade12","ynl220w","ORF","234413-235714","+","XIV","ynl220w",224.092519613289
"pry1",0,0,1,"pry1","yjl079c","ORF","289875-290774","-","X","yjl079c",223.736142468735
NA,NA,NA,NA,"dps1","yll018c","ORF","109902-111575","-","XII","yll018c",221.620910678934
NA,NA,NA,NA,"sbp1","yhl034c","ORF","33193-34077","-","VIII","yhl034c",220.37337947884
NA,NA,NA,NA,"gic2","ydr309c","ORF","1079048-1080199","-","IV","ydr309c",220.0469834994
NA,NA,NA,NA,"bdf2","ydl070w","ORF","331024-332940","+","IV","ydl070w",219.909725231294
NA,NA,NA,NA,"ypl197c","ypl197c","ORF","174343-174756","-","XVI","ypl197c",219.486961692834
NA,NA,NA,NA,"pho13","ydl236w","ORF","32296-33234","+","IV","ydl236w",219.325532219944
NA,NA,NA,NA,"prm5","yil117c","ORF","140613-141569","-","IX","yil117c",219.29948295529
NA,NA,NA,NA,"uba1","ykl210w","ORF","39163-42237","+","XI","ykl210w",216.530231474508
NA,NA,NA,NA,"trp3","ykl211c","ORF","36699-38153","-","XI","ykl211c",215.638939236731
NA,NA,NA,NA,"sks1","ypl026c","ORF","500675-502183","-","XVI","ypl026c",215.536516822233
"met5",0,0,1,"met5","yjr137c","ORF","678957-683285","-","X","yjr137c",215.297142772205
NA,NA,NA,NA,"shp1","ybl058w","ORF","111437-112708","+","II","ybl058w",214.75438891301
"coq5",0,0,1,"coq5","yml110c","ORF","50031-50954","-","XIII","yml110c",214.512185967663
NA,NA,NA,NA,"ybr096w","ybr096w","ORF","436021-436713","+","II","ybr096w",213.540340368834
NA,NA,NA,NA,"flc2","yal053w","ORF","45899-48250","+","I","yal053w",213.496426370818
NA,NA,NA,NA,"yhl034w-a","yhl034w-a","ORF","33176-33637","+","VIII","yhl034w-a",213.242847560828
NA,NA,NA,NA,"ykl111c","ykl111c","ORF","228464-228799","-","XI","ykl111c",212.984614069646
"sok1",0,1,0,"sok1","ydr006c","ORF","458542-461247","-","IV","ydr006c",212.814891991139
NA,NA,NA,NA,"frs1","ylr060w","ORF","260979-262766","+","XII","ylr060w",212.56376975936
NA,NA,NA,NA,"coa4","ylr218c","ORF","573466-573918","-","XII","ylr218c",212.232548974072
NA,NA,NA,NA,"yol014w","yol014w","ORF","299693-300067","+","XV","yol014w",211.870486905648
NA,NA,NA,NA,"irc14","yor135c","ORF","580159-580500","-","XV","yor135c",211.656165258672
NA,NA,NA,NA,"hip1","ygr191w","ORF","880420-882231","+","VII","ygr191w",211.236684091382
NA,NA,NA,NA,"vma5","ykl080w","ORF","285030-286208","+","XI","ykl080w",209.043276808739
"atp1",0,0.5,0.5,"atp1","ybl099w","ORF","37053-38690","+","II","ybl099w",207.990118747715
NA,NA,NA,NA,"kre1","ynl322c","ORF","33294-34235","-","XIV","ynl322c",205.684262069396
NA,NA,NA,NA,"rpn3","yer021w","ORF","196948-198519","+","V","yer021w",202.154201885144
"sla1",0,0,1,"sla1","ybl007c","ORF","212632-216366","-","II","ybl007c",201.686306084883
NA,NA,NA,NA,"ptc2","yer089c","ORF","335946-337340","-","V","yer089c",200.339049968528
NA,NA,NA,NA,"rpt4","yor259c","ORF","812395-813708","-","XV","yor259c",199.493179233914
NA,NA,NA,NA,"rvb1","ydr190c","ORF","840604-841995","-","IV","ydr190c",199.466950616852
NA,NA,NA,NA,"ies5","yer092w","ORF","342855-343232","+","V","yer092w",197.258170155724
NA,NA,NA,NA,"kre6","ypr159w","ORF","857583-859745","+","XVI","ypr159w",194.87097495431
NA,NA,NA,NA,"sat4","ycr008w","ORF","128470-130281","+","III","ycr008w",193.522938163136
NA,NA,NA,NA,"oye2","yhr179w","ORF","462502-463704","+","VIII","yhr179w",193.240172443705
NA,NA,NA,NA,"sec24","yil109c","ORF","157385-160165","-","IX","yil109c",192.510014632296
NA,NA,NA,NA,"std1","yor047c","ORF","416347-417681","-","XV","yor047c",189.73950136698
NA,NA,NA,NA,"ygl165c","ygl165c","ORF","191398-191976","-","VII","ygl165c",189.477797911103
NA,NA,NA,NA,"cis3","yjl158c","ORF","122265-122948","-","X","yjl158c",189.052852481517
NA,NA,NA,NA,"ilv2","ymr108w","ORF","484084-486147","+","XIII","ymr108w",188.232961369859
NA,NA,NA,NA,"met13","ygl125w","ORF","272520-274322","+","VII","ygl125w",188.217819182068
NA,NA,NA,NA,"ynr021w","ynr021w","ORF","668377-669591","+","XIV","ynr021w",187.863767926561
"ppz1",0,0,1,"ppz1","yml016c","ORF","239458-241536","-","XIII","yml016c",187.061751612594
NA,NA,NA,NA,"lys20","ydl182w","ORF","133437-134723","+","IV","ydl182w",187.029351448532
"ynl190w",0,0,1,"ynl190w","ynl190w","ORF","282395-283009","+","XIV","ynl190w",185.601531477369
"acs2",1,0,0,"acs2","ylr153c","ORF","445524-447575","-","XII","ylr153c",185.363486558167
NA,NA,NA,NA,"cnb1","ykl190w","ORF","82947-83550","+","XI","ykl190w",185.178945977686
NA,NA,NA,NA,"ydl086c-a","ydl086c-a","ORF","301655-302089","-","IV","ydl086c-a",184.520588459179
NA,NA,NA,NA,"erg3","ylr056w","ORF","253861-254958","+","XII","ylr056w",183.862319474757
NA,NA,NA,NA,"ygr190c","ygr190c","ORF","880296-880661","-","VII","ygr190c",182.847436428261
"leu2",0,1,0,"leu2","ycl018w","ORF","91324-92418","+","III","ycl018w",181.957637845134
NA,NA,NA,NA,"ygr210c","ygr210c","ORF","913503-914738","-","VII","ygr210c",180.478599913291
NA,NA,NA,NA,"ynl097c-b","ynl097c-b","ORF","440797-440919","-","XIV","ynl097c-b",179.313666582702
NA,NA,NA,NA,"cdc60","ypl160w","ORF","246990-250262","+","XVI","ypl160w",178.115192770596
NA,NA,NA,NA,"tub3","yml124c","ORF","22048-23683","-","XIII","yml124c",178.037472032351
NA,NA,NA,NA,"jsn1","yjr091c","ORF","595061-598336","-","X","yjr091c",177.830698044645
NA,NA,NA,NA,"gsh1","yjl101c","ORF","234320-236356","-","X","yjl101c",177.644599057563
NA,NA,NA,NA,"yor263c","yor263c","ORF","818757-819164","-","XV","yor263c",177.617631193693
NA,NA,NA,NA,"aip1","ymr092c","ORF","451632-453479","-","XIII","ymr092c",177.038087814667
NA,NA,NA,NA,"cup2","ygl166w","ORF","191129-191806","+","VII","ygl166w",176.071943822358
NA,NA,NA,NA,"ics2","ybr157c","ORF","553543-554310","-","II","ybr157c",175.901880609768
NA,NA,NA,NA,"cct7","yjl111w","ORF","207877-209529","+","X","yjl111w",175.127702807306
"rpl39",0,0,1,"rpl39","yjl189w","ORF","75933-76474","+","X","yjl189w",174.958446469627
"rpt2",0,0,1,"rpt2","ydl007w","ORF","438047-439360","+","IV","ydl007w",174.916482693401
NA,NA,NA,NA,"arg4","yhr018c","ORF","140011-141402","-","VIII","yhr018c",174.381570870939
"rpt1",0,0,1,"rpt1","ykl145w","ORF","174213-175616","+","XI","ykl145w",174.198300581514
NA,NA,NA,NA,"pre8","yml092c","ORF","85987-86739","-","XIII","yml092c",173.934356675336
NA,NA,NA,NA,"ssh1","ybr283c","ORF","768943-770415","-","II","ybr283c",173.682216785147
NA,NA,NA,NA,"gcv2","ymr189w","ORF","637500-640604","+","XIII","ymr189w",173.108937511466
NA,NA,NA,NA,"sla2","ynl243w","ORF","188051-190957","+","XIV","ynl243w",172.295991312707
"hst2",1,0,0,"hst2","ypl015c","ORF","525810-526883","-","XVI","ypl015c",172.048095117373
NA,NA,NA,NA,"gar1","yhr089c","ORF","282681-283298","-","VIII","yhr089c",171.504324153317
NA,NA,NA,NA,"pdr17","ynl264c","ORF","145563-146615","-","XIV","ynl264c",170.958252515728
NA,NA,NA,NA,"gsh2","yol049w","ORF","238619-240094","+","XV","yol049w",170.895640475614
NA,NA,NA,NA,"trp4","ydr354w","ORF","1184747-1185889","+","IV","ydr354w",169.507183979375
NA,NA,NA,NA,"his3","yor202w","ORF","721946-722608","+","XV","yor202w",168.766263917762
"ssk1",0,0,1,"ssk1","ylr006c","ORF","161755-163893","-","XII","ylr006c",168.658090510442
"pub1",0,0,1,"pub1","ynl016w","ORF","602907-604268","+","XIV","ynl016w",167.467394793552
"sis2",0,1,0,"sis2","ykr072c","ORF","576435-578123","-","XI","ykr072c",167.166071778352
NA,NA,NA,NA,"slt2","yhr030c","ORF","168890-170344","-","VIII","yhr030c",166.990611119001
NA,NA,NA,NA,"hur1","ygl168w","ORF","187464-187796","+","VII","ygl168w",166.13532114023
NA,NA,NA,NA,"cam1","ypl048w","ORF","464401-465648","+","XVI","ypl048w",166.108919628634
NA,NA,NA,NA,"ecm3","yor092w","ORF","495127-496968","+","XV","yor092w",163.64229965095
"ubp6",0,0,1,"ubp6","yfr010w","ORF","165067-166566","+","VI","yfr010w",163.636508292224
NA,NA,NA,NA,"ykl063c","ykl063c","ORF","321015-321518","-","XI","ykl063c",163.316841134636
NA,NA,NA,NA,"ptm1","ykl039w","ORF","362622-364193","+","XI","ykl039w",162.870458835286
NA,NA,NA,NA,"ygl082w","ygl082w","ORF","355827-356972","+","VII","ygl082w",162.795110088263
NA,NA,NA,NA,"yer138w-a","yer138w-a","ORF","449474-449578","+","V","yer138w-a",162.758238354954
NA,NA,NA,NA,"snq2","ydr011w","ORF","465919-470424","+","IV","ydr011w",162.48072336374
NA,NA,NA,NA,"haa1","ypr008w","ORF","573018-575102","+","XVI","ypr008w",161.426479883964
NA,NA,NA,NA,"pho84","yml123c","ORF","24037-25800","-","XIII","yml123c",161.365915592395
NA,NA,NA,NA,"ils1","ybl076c","ORF","81043-84261","-","II","ybl076c",160.051321623427
NA,NA,NA,NA,"ygr137w","ygr137w","ORF","762888-763262","+","VII","ygr137w",159.33210461055
NA,NA,NA,NA,"ret2","yfr051c","ORF","250163-251803","-","VI","yfr051c",159.300013091975
NA,NA,NA,NA,"rpb10","yor210w","ORF","738320-738532","+","XV","yor210w",158.887060280448
"lpd1",0,0,1,"lpd1","yfl018c","ORF","101628-103127","-","VI","yfl018c",158.410464048671
NA,NA,NA,NA,"ypr148c","ypr148c","ORF","826833-828140","-","XVI","ypr148c",158.311501442047
NA,NA,NA,NA,"ylr194c","ylr194c","ORF","540809-541573","-","XII","ylr194c",158.063846338136
NA,NA,NA,NA,"hmo1","ydr174w","ORF","812110-812850","+","IV","ydr174w",157.769915056951
NA,NA,NA,NA,"scw4","ygr279c","ORF","1048798-1049958","-","VII","ygr279c",157.69180386535
NA,NA,NA,NA,"ylr108c","ylr108c","ORF","366667-368124","-","XII","ylr108c",157.653592823232
"lsb3",0,1,0,"lsb3","yfr024c-a","ORF","201960-203433","-","VI","yfr024c-a",157.599623831173
NA,NA,NA,NA,"sec21","ynl287w","ORF","91994-94801","+","XIV","ynl287w",157.511530881084
NA,NA,NA,NA,"smm1","ynr015w","ORF","653387-654541","+","XIV","ynr015w",157.315651634663
NA,NA,NA,NA,"ymr119w-a","ymr119w-a","ORF","506996-507370","+","XIII","ymr119w-a",156.83696661169
NA,NA,NA,NA,"yil165c","yil165c","ORF","33718-34077","-","IX","yil165c",156.779896160981
NA,NA,NA,NA,"gdt1","ybr187w","ORF","602634-603476","+","II","ybr187w",156.573733620224
NA,NA,NA,NA,"yol118c","yol118c","ORF","96608-96916","-","XV","yol118c",155.226023810682
NA,NA,NA,NA,"gyp6","yjl044c","ORF","358300-359676","-","X","yjl044c",154.870527431673
"eft2",0,0,1,"eft2","ydr385w","ORF","1243230-1245758","+","IV","ydr385w",154.361866347509
NA,NA,NA,NA,"hem12","ydr047w","ORF","551860-552948","+","IV","ydr047w",154.281833316554
NA,NA,NA,NA,"ncb2","ydr397c","ORF","1266366-1266898","-","IV","ydr397c",153.752265177502
NA,NA,NA,NA,"ypl205c","ypl205c","ORF","163922-164266","-","XVI","ypl205c",153.53450538674
NA,NA,NA,NA,"erv29","ygr284c","ORF","1060658-1061590","-","VII","ygr284c",152.486567090631
NA,NA,NA,NA,"trp5","ygl026c","ORF","446412-448535","-","VII","ygl026c",152.272024757881
"tos3",0,0.5,0.5,"tos3","ygl179c","ORF","163409-165091","-","VII","ygl179c",151.908658213614
NA,NA,NA,NA,"ydl086w","ydl086w","ORF","301413-302234","+","IV","ydl086w",151.519222164487
NA,NA,NA,NA,"ygr068w-a","ygr068w-a","ORF","626294-626389","+","VII","ygr068w-a",151.115207163624
NA,NA,NA,NA,"ppx1","yhr201c","ORF","499950-501143","-","VIII","yhr201c",151.061624585494
NA,NA,NA,NA,"slx9","ygr081c","ORF","643148-643780","-","VII","ygr081c",150.9442182395
NA,NA,NA,NA,"pre3","yjl001w","ORF","435163-435926","+","X","yjl001w",150.460714129049
NA,NA,NA,NA,"rpc10","yhr143w-a","ORF","387233-387445","+","VIII","yhr143w-a",150.191852252098
NA,NA,NA,NA,"yer034w","yer034w","ORF","221846-222403","+","V","yer034w",150.151843248492
NA,NA,NA,NA,"ynr025c","ynr025c","ORF","672702-673061","-","XIV","ynr025c",149.76973018328
"vrp1",0,0,1,"vrp1","ylr337c","ORF","802653-805106","-","XII","ylr337c",149.586702178746
NA,NA,NA,NA,"ypl199c","ypl199c","ORF","172033-172755","-","XVI","ypl199c",149.549641025563
NA,NA,NA,NA,"imp2'","yil154c","ORF","53981-55021","-","IX","yil154c",148.83722891923
NA,NA,NA,NA,"pcl1","ynl289w","ORF","87897-88736","+","XIV","ynl289w",148.676595626855
NA,NA,NA,NA,"odc2","yor222w","ORF","758330-759253","+","XV","yor222w",148.101511948749
NA,NA,NA,NA,"sft2","ybl102w","ORF","24098-24745","+","II","ybl102w",148.05169974283
NA,NA,NA,NA,"sia1","yor137c","ORF","581813-583681","-","XV","yor137c",147.783649726434
NA,NA,NA,NA,"yer088c-a","yer088c-a","ORF","335696-336019","-","V","yer088c-a",145.626573842734
NA,NA,NA,NA,"whi4","ydl224c","ORF","54397-56346","-","IV","ydl224c",145.084475222091
NA,NA,NA,NA,"yor200w","yor200w","ORF","720417-720815","+","XV","yor200w",144.967755363806
NA,NA,NA,NA,"kre9","yjl174w","ORF","95092-95922","+","X","yjl174w",144.345692999907
NA,NA,NA,NA,"spr6","yer115c","ORF","394292-394867","-","V","yer115c",144.198548547069
NA,NA,NA,NA,"ost1","yjl002c","ORF","433221-434651","-","X","yjl002c",144.014515853399
NA,NA,NA,NA,"clu1","ymr012w","ORF","291134-294967","+","XIII","ymr012w",143.986198096004
NA,NA,NA,NA,"cpr5","ydr304c","ORF","1071880-1072557","-","IV","ydr304c",143.60943886629
NA,NA,NA,NA,"crn1","ylr429w","ORF","990777-992732","+","XII","ylr429w",143.594405654654
NA,NA,NA,NA,"las17","yor181w","ORF","675939-677840","+","XV","yor181w",143.560504208358
NA,NA,NA,NA,"str3","ygl184c","ORF","154615-156012","-","VII","ygl184c",143.337846891659
NA,NA,NA,NA,"rpn9","ydr427w","ORF","1322205-1323386","+","IV","ydr427w",143.081755796021
NA,NA,NA,NA,"svs1","ypl163c","ORF","241918-242700","-","XVI","ypl163c",142.92345627681
NA,NA,NA,NA,"bio4","ynr057c","ORF","733356-734069","-","XIV","ynr057c",142.894992678743
"sso2",0,0,1,"sso2","ymr183c","ORF","626921-627808","-","XIII","ymr183c",142.122007601989
NA,NA,NA,NA,"tma20","yer007c-a","ORF","166237-166885","-","V","yer007c-a",140.970146219118
NA,NA,NA,NA,"smf3","ylr034c","ORF","210512-211933","-","XII","ylr034c",139.963607047687
NA,NA,NA,NA,"lsm5","yer146w","ORF","462585-462866","+","V","yer146w",139.49688531062
NA,NA,NA,NA,"tsc13","ydl015c","ORF","426002-426934","-","IV","ydl015c",139.363048810546
NA,NA,NA,NA,"ast1","ybl069w","ORF","90741-92030","+","II","ybl069w",139.265956132109
NA,NA,NA,NA,"ylr285c-a","ylr285c-a","ORF","708168-708338","-","XII","ylr285c-a",138.794883985632
NA,NA,NA,NA,"nam8","yhr086w","ORF","278153-279724","+","VIII","yhr086w",138.608224676636
NA,NA,NA,NA,"caf40","ynl288w","ORF","90303-91424","+","XIV","ynl288w",138.438896435646
NA,NA,NA,NA,"rrd1","yil153w","ORF","55198-56379","+","IX","yil153w",138.416470581456
NA,NA,NA,NA,"pkp2","ygl059w","ORF","392223-393698","+","VII","ygl059w",137.994188553864
NA,NA,NA,NA,"pis1","ypr113w","ORF","752257-752919","+","XVI","ypr113w",137.993909863926
NA,NA,NA,NA,"ybr230w-a","ybr230w-a","ORF","680362-680562","+","II","ybr230w-a",137.869955835877
NA,NA,NA,NA,"ydl185c-a","ydl185c-a","ORF","126608-126835","-","IV","ydl185c-a",137.167816076051
NA,NA,NA,NA,"yer119c-a","yer119c-a","ORF","400867-401238","-","V","yer119c-a",137.152146441266
NA,NA,NA,NA,"srl3","ykr091w","ORF","611525-612265","+","XI","ykr091w",136.964795061017
"rpt5",0,0,1,"rpt5","yor117w","ORF","545029-546333","+","XV","yor117w",136.955422506361
"rps7a",0,0,1,"rps7a","yor096w","ORF","505794-506767","+","XV","yor096w",136.441322254598
NA,NA,NA,NA,"ybr141w-a","ybr141w-a","ORF","527167-527262","+","II","ybr141w-a",136.392098556963
NA,NA,NA,NA,"kti11","ybl071w-a","ORF","89978-90226","+","II","ybl071w-a",135.958337202665
NA,NA,NA,NA,"ydr396w","ydr396w","ORF","1266295-1266795","+","IV","ydr396w",135.629479686551
NA,NA,NA,NA,"rim101","yhl027w","ORF","51111-52988","+","VIII","yhl027w",135.046705089345
NA,NA,NA,NA,"ynl057w","ynl057w","ORF","516403-516735","+","XIV","ynl057w",134.8774169245
NA,NA,NA,NA,"ymr153c-a","ymr153c-a","ORF","565574-565909","-","XIII","ymr153c-a",134.292146028229
NA,NA,NA,NA,"tda6","ypr157w","ORF","841266-842669","+","XVI","ypr157w",133.989733291736
NA,NA,NA,NA,"rsm10","ydr041w","ORF","539803-540414","+","IV","ydr041w",133.911332084089
NA,NA,NA,NA,"dpp1","ydr284c","ORF","1030550-1031419","-","IV","ydr284c",133.381841871619
NA,NA,NA,NA,"bud25","yer014c-a","ORF","183731-184700","-","V","yer014c-a",132.472117657021
NA,NA,NA,NA,"rpl26b","ygr034w","ORF","555812-556672","+","VII","ygr034w",132.36572171604
"snf1",0,0.75,0.25,"snf1","ydr477w","ORF","1412373-1414274","+","IV","ydr477w",131.662760498663
"avt1",0,0,1,"avt1","yjr001w","ORF","436802-438610","+","X","yjr001w",131.28076737271
"amd1",0,1,0,"amd1","yml035c","ORF","206428-208860","-","XIII","yml035c",131.114936359506
NA,NA,NA,NA,"pcl5","yhr071w","ORF","237004-237693","+","VIII","yhr071w",131.020254432547
NA,NA,NA,NA,"hts1","ypr033c","ORF","637379-639019","-","XVI","ypr033c",130.912729462924
NA,NA,NA,NA,"dcp2","ynl118c","ORF","402652-405564","-","XIV","ynl118c",130.462781346283
NA,NA,NA,NA,"ylr339c","ylr339c","ORF","805784-806335","-","XII","ylr339c",130.29531309893
NA,NA,NA,NA,"ycr095w-a","ycr095w-a","ORF","289639-289797","+","III","ycr095w-a",129.793519918192
"cln3",0,1,0,"cln3","yal040c","ORF","65778-67520","-","I","yal040c",129.696900371574
NA,NA,NA,NA,"sec27","ygl137w","ORF","249869-252738","+","VII","ygl137w",129.635054667803
NA,NA,NA,NA,"leu1","ygl009c","ORF","476313-478652","-","VII","ygl009c",129.53065429099
NA,NA,NA,NA,"mig3","yer028c","ORF","210692-211876","-","V","yer028c",129.219276894375
