"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1","T2"
"ipt1",0,0.5,0.5,"ipt1","ydr072c","ORF","589761-591344","-","IV","ydr072c",-179.363974071539,155.674128285063
NA,NA,NA,NA,"yer088w-b","yer088w-b","ORF","335927-336073","+","V","yer088w-b",-177.916294020375,180.430317582875
NA,NA,NA,NA,"ypr126c","ypr126c","ORF","789077-789385","-","XVI","ypr126c",-175.292628599419,169.888919155397
NA,NA,NA,NA,"his1","yer055c","ORF","264892-265785","-","V","yer055c",-174.093153194695,170.004334549433
NA,NA,NA,NA,"rps28b","ylr264w","ORF","673131-673334","+","XII","ylr264w",-173.722534935006,357.858069376925
NA,NA,NA,NA,"pup1","yor157c","ORF","630966-631751","-","XV","yor157c",-173.692664412016,223.014969453777
NA,NA,NA,NA,"gap1","ykr039w","ORF","515063-516871","+","XI","ykr039w",-169.943557522115,426.966034583647
NA,NA,NA,NA,"rps14b","yjl191w","ORF","73787-74611","+","X","yjl191w",-169.047952635016,95.7328157791126
"trx1",0,0,1,"trx1","ylr043c","ORF","231702-232013","-","XII","ylr043c",-168.079428857077,222.132099879892
NA,NA,NA,NA,"tda1","ymr291w","ORF","852630-854390","+","XIII","ymr291w",-167.06731074905,200.483228336996
"met16",0,1,0,"met16","ypr167c","ORF","876847-877632","-","XVI","ypr167c",-167.020332174758,71.3694928511356
NA,NA,NA,NA,"gcv3","yal044c","ORF","57950-58462","-","I","yal044c",-166.737848453415,253.592002697231
NA,NA,NA,NA,"rpl17a","ykl180w","ORF","109269-110129","+","XI","ykl180w",-164.882373375211,-396.017430047435
"amn1",0,0,1,"amn1","ybr158w","ORF","556549-558198","+","II","ybr158w",-164.313037406179,196.486866750836
NA,NA,NA,NA,"rpg1","ybr079c","ORF","395383-398277","-","II","ybr079c",-164.023437287513,102.782701528632
NA,NA,NA,NA,"rpl7b","ypl198w","ORF","173152-174702","+","XVI","ypl198w",-163.640843066779,74.7349418580597
NA,NA,NA,NA,"shb17","ykr043c","ORF","520897-521712","-","XI","ykr043c",-163.005457572935,209.878553486401
NA,NA,NA,NA,"zuo1","ygr285c","ORF","1061852-1063153","-","VII","ygr285c",-162.744760017237,110.843530798948
"dif1",0,0,1,"dif1","ylr437c","ORF","1011622-1012023","-","XII","ylr437c",-161.85354652925,163.400190360495
NA,NA,NA,NA,"ybl077w","ybl077w","ORF","80897-81328","+","II","ybl077w",-159.409781562657,110.362591427883
NA,NA,NA,NA,"ola1","ybr025c","ORF","290681-291865","-","II","ybr025c",-159.14141390897,-42.7989832043694
NA,NA,NA,NA,"hom3","yer052c","ORF","256375-257958","-","V","yer052c",-156.694986980141,105.392728468834
NA,NA,NA,NA,"frs1","ylr060w","ORF","260979-262766","+","XII","ylr060w",-156.646595441678,55.9171743176818
NA,NA,NA,NA,"pfy1","yor122c","ORF","552298-552887","-","XV","yor122c",-156.253462907948,414.425153089529
NA,NA,NA,NA,"gim3","ynl153c","ORF","345669-346058","-","XIV","ynl153c",-156.226796284149,177.119706847628
NA,NA,NA,NA,"gcv1","ydr019c","ORF","484163-485365","-","IV","ydr019c",-154.088589038823,165.238549007988
NA,NA,NA,NA,"ylr399w-a","ylr399w-a","ORF","920869-920973","+","XII","ylr399w-a",-154.012392525312,153.350878584582
"aat2",1,0,0,"aat2","ylr027c","ORF","196829-198085","-","XII","ylr027c",-153.582913488453,236.547173989381
NA,NA,NA,NA,"egt2","ynl327w","ORF","24048-27173","+","XIV","ynl327w",-153.480974918509,152.255312400911
NA,NA,NA,NA,"sfk1","ykl051w","ORF","341312-342373","+","XI","ykl051w",-152.874096166353,190.872643430705
NA,NA,NA,NA,"pho84","yml123c","ORF","24037-25800","-","XIII","yml123c",-152.48169549843,8.88422009396432
NA,NA,NA,NA,"rpl27b","ydr471w","ORF","1401770-1402564","+","IV","ydr471w",-151.687602581912,-429.471430511521
NA,NA,NA,NA,"imd2","yhr216w","ORF","554396-555967","+","VIII","yhr216w",-151.592218386947,149.474713233744
NA,NA,NA,NA,"ypl197c","ypl197c","ORF","174343-174756","-","XVI","ypl197c",-150.91688869513,68.5700729977044
NA,NA,NA,NA,"rpb8","yor224c","ORF","760825-761265","-","XV","yor224c",-149.896840806223,183.596679311601
NA,NA,NA,NA,"cmk2","yol016c","ORF","294777-296120","-","XV","yol016c",-149.261844397472,251.734616975903
NA,NA,NA,NA,"bna3","yjl060w","ORF","323386-324720","+","X","yjl060w",-148.435746897151,90.8884327870443
NA,NA,NA,NA,"hmo1","ydr174w","ORF","812110-812850","+","IV","ydr174w",-147.586651968226,10.1832630887248
"rpl1b",0,1,0,"rpl1b","ygl135w","ORF","254641-255294","+","VII","ygl135w",-147.334664300403,-312.307635334073
NA,NA,NA,NA,"sec23","ypr181c","ORF","897361-899667","-","XVI","ypr181c",-146.841602630475,121.84411488726
NA,NA,NA,NA,"erv14","ygl054c","ORF","400871-401287","-","VII","ygl054c",-146.094484265114,106.263598572156
NA,NA,NA,NA,"sec61","ylr378c","ORF","875736-877178","-","XII","ylr378c",-145.53308114734,158.138751433913
"sic1",0,0,1,"sic1","ylr079w","ORF","286820-287674","+","XII","ylr079w",-145.060954093956,183.277027317837
NA,NA,NA,NA,"dse2","yhr143w","ORF","385510-386487","+","VIII","yhr143w",-144.939981567273,-51.1873437725989
NA,NA,NA,NA,"rps29b","ydl061c","ORF","340628-340798","-","IV","ydl061c",-144.314783962375,-239.617909272752
NA,NA,NA,NA,"rpl36b","ypl249c-a","ORF","75699-76239","-","XVI","ypl249c-a",-144.104149851893,-198.840631371748
NA,NA,NA,NA,"dse3","yor264w","ORF","818866-820158","+","XV","yor264w",-143.849765490874,127.481018157173
"fcy2",0,1,0,"fcy2","yer056c","ORF","266512-268113","-","V","yer056c",-143.808897048043,-45.050176603767
NA,NA,NA,NA,"tom40","ymr203w","ORF","668492-669655","+","XIII","ymr203w",-143.455174673085,210.362935707951
NA,NA,NA,NA,"ett1","yor051c","ORF","424846-426084","-","XV","yor051c",-142.680788684573,100.939413168531
NA,NA,NA,NA,"emc2","yjr088c","ORF","586495-587373","-","X","yjr088c",-141.784678344188,115.664789709244
NA,NA,NA,NA,"hrr25","ypl204w","ORF","164276-165760","+","XVI","ypl204w",-140.768793527886,153.081325841604
NA,NA,NA,NA,"mes1","ygr264c","ORF","1019598-1021853","-","VII","ygr264c",-140.647577752909,122.859117314351
NA,NA,NA,NA,"nrd1","ynl251c","ORF","172588-174315","-","XIV","ynl251c",-140.43405936983,186.035541988163
NA,NA,NA,NA,"tys1","ygr185c","ORF","866336-867520","-","VII","ygr185c",-136.826695957692,107.374422205071
NA,NA,NA,NA,"scw11","ygl028c","ORF","441281-442909","-","VII","ygl028c",-136.038475764873,137.531709945016
NA,NA,NA,NA,"arp2","ydl029w","ORF","399340-400638","+","IV","ydl029w",-135.270694665441,250.503519902811
NA,NA,NA,NA,"ilv2","ymr108w","ORF","484084-486147","+","XIII","ymr108w",-134.244585527603,53.9883758422568
NA,NA,NA,NA,"dig1","ypl049c","ORF","462481-463839","-","XVI","ypl049c",-134.213682039943,139.680220260273
NA,NA,NA,NA,"ydl012c","ydl012c","ORF","431108-431517","-","IV","ydl012c",-133.823013631063,120.711668652187
NA,NA,NA,NA,"lys20","ydl182w","ORF","133437-134723","+","IV","ydl182w",-133.5682084864,53.4611429621316
NA,NA,NA,NA,"mcm1","ymr043w","ORF","353871-354731","+","XIII","ymr043w",-132.870715995291,145.847971012936
NA,NA,NA,NA,"arg3","yjl088w","ORF","268799-269815","+","X","yjl088w",-132.798262453708,108.507600367536
NA,NA,NA,NA,"scs7","ymr272c","ORF","809623-810777","-","XIII","ymr272c",-132.581360951372,210.419810041664
NA,NA,NA,NA,"dia1","ymr316w","ORF","904825-905835","+","XIII","ymr316w",-132.119993484015,177.638417058002
NA,NA,NA,NA,"pab1","yer165w","ORF","510373-512106","+","V","yer165w",-131.312228859159,-68.973003070481
NA,NA,NA,NA,"rpc10","yhr143w-a","ORF","387233-387445","+","VIII","yhr143w-a",-130.928300953624,19.2635512984737
NA,NA,NA,NA,"ybl068w-a","ybl068w-a","ORF","91794-92030","+","II","ybl068w-a",-130.044208957418,136.897858550379
NA,NA,NA,NA,"sit4","ydl047w","ORF","369771-370706","+","IV","ydl047w",-129.954886750112,148.204656482745
"pry1",0,0,1,"pry1","yjl079c","ORF","289875-290774","-","X","yjl079c",-129.802458056296,93.9336844124392
"rvs161",0,0.333333333333333,0.666666666666667,"rvs161","ycr009c","ORF","130745-131542","-","III","ycr009c",-129.525910499705,194.938500667181
"gas1",0,0,1,"gas1","ymr307w","ORF","887003-888682","+","XIII","ymr307w",-129.398325112397,-142.321289291732
NA,NA,NA,NA,"kes1","ypl145c","ORF","278395-279699","-","XVI","ypl145c",-128.885599703238,117.951775420064
NA,NA,NA,NA,"ygr026w","ygr026w","ORF","532985-533821","+","VII","ygr026w",-128.506414037485,165.681448038885
"gpx2",0,0,1,"gpx2","ybr244w","ORF","707528-708016","+","II","ybr244w",-128.448098611618,102.056453607395
NA,NA,NA,NA,"vma5","ykl080w","ORF","285030-286208","+","XI","ykl080w",-126.89429105002,82.1489857587184
NA,NA,NA,NA,"ucc1","ylr224w","ORF","586464-587573","+","XII","ylr224w",-126.877755310056,99.1270048228898
NA,NA,NA,NA,"gic2","ydr309c","ORF","1079048-1080199","-","IV","ydr309c",-125.75302601494,94.2939574844597
NA,NA,NA,NA,"dps1","yll018c","ORF","109902-111575","-","XII","yll018c",-125.279010346981,96.3419003319527
"rpl6a",0,0,1,"rpl6a","yml073c","ORF","123227-124172","-","XIII","yml073c",-125.21920014134,-332.064859558015
NA,NA,NA,NA,"chs1","ynl192w","ORF","276502-279897","+","XIV","ynl192w",-124.837942257406,184.769609798848
NA,NA,NA,NA,"tpo2","ygr138c","ORF","763762-765606","-","VII","ygr138c",-124.784408414598,151.193051251758
NA,NA,NA,NA,"tef2","ybr118w","ORF","477671-479047","+","II","ybr118w",-124.108417387214,-84.3585469873495
NA,NA,NA,NA,"bfr1","yor198c","ORF","718653-720065","-","XV","yor198c",-124.063397044387,103.87450166138
NA,NA,NA,NA,"faa1","yor317w","ORF","909343-911445","+","XV","yor317w",-123.822312483855,247.152150278473
NA,NA,NA,NA,"ynl046w","ynl046w","ORF","542304-542822","+","XIV","ynl046w",-122.876956198874,117.406214581096
NA,NA,NA,NA,"bar1","yil015w","ORF","322342-324105","+","IX","yil015w",-122.594879022686,148.169382393462
NA,NA,NA,NA,"ydr210w","ydr210w","ORF","871074-871301","+","IV","ydr210w",-122.15334168995,151.55741877277
NA,NA,NA,NA,"tpm2","yil138c","ORF","89230-89715","-","IX","yil138c",-121.61496641846,169.866573052971
NA,NA,NA,NA,"yro2","ybr054w","ORF","343101-344135","+","II","ybr054w",-121.613144112,159.576828327989
NA,NA,NA,NA,"nab3","ypl190c","ORF","185317-187725","-","XVI","ypl190c",-121.592583022502,121.609617010983
NA,NA,NA,NA,"ylr379w","ylr379w","ORF","876922-877296","+","XII","ylr379w",-120.690375582036,140.138137581595
NA,NA,NA,NA,"flc1","ypl221w","ORF","133043-135424","+","XVI","ypl221w",-120.531200248655,143.471299127666
NA,NA,NA,NA,"scs2","yer120w","ORF","401135-401869","+","V","yer120w",-119.594788242896,183.935439781158
NA,NA,NA,NA,"ilv3","yjr016c","ORF","464451-466208","-","X","yjr016c",-119.388577944289,127.520373914209
"vph1",0,0.5,0.5,"vph1","yor270c","ORF","828052-830574","-","XV","yor270c",-118.660040370702,127.456560961674
NA,NA,NA,NA,"frd1","yel047c","ORF","65385-66797","-","V","yel047c",-118.467585394098,123.018165414248
NA,NA,NA,NA,"pre10","yor362c","ORF","1017880-1018746","-","XV","yor362c",-118.219569301406,210.747798698027
NA,NA,NA,NA,"ymr316c-a","ymr316c-a","ORF","905662-905973","-","XIII","ymr316c-a",-118.17537865469,179.860514729319
NA,NA,NA,NA,"sks1","ypl026c","ORF","500675-502183","-","XVI","ypl026c",-118.090136094707,97.4463807275262
NA,NA,NA,NA,"std1","yor047c","ORF","416347-417681","-","XV","yor047c",-117.21172704076,72.5277743262203
NA,NA,NA,NA,"hog1","ylr113w","ORF","371620-372927","+","XII","ylr113w",-116.763598258754,143.921138515905
NA,NA,NA,NA,"tsc13","ydl015c","ORF","426002-426934","-","IV","ydl015c",-115.377876205922,23.985172604624
NA,NA,NA,NA,"eeb1","ypl095c","ORF","368071-369441","-","XVI","ypl095c",-115.234393219381,114.998531152933
NA,NA,NA,NA,"dut1","ybr252w","ORF","722611-723054","+","II","ybr252w",-115.195652327973,115.973463376628
NA,NA,NA,NA,"ygr210c","ygr210c","ORF","913503-914738","-","VII","ygr210c",-115.086805928593,65.3917939846986
NA,NA,NA,NA,"sec31","ydl195w","ORF","107208-111029","+","IV","ydl195w",-114.945020373833,122.604178308221
NA,NA,NA,NA,"rpn11","yfr004w","ORF","153393-154313","+","VI","yfr004w",-114.261261826148,189.58263335179
NA,NA,NA,NA,"arg80","ymr042w","ORF","352603-353136","+","XIII","ymr042w",-113.642713215149,115.7527190365
NA,NA,NA,NA,"yps1","ylr120c","ORF","386511-388220","-","XII","ylr120c",-113.179628261881,224.892746829804
NA,NA,NA,NA,"bdf2","ydl070w","ORF","331024-332940","+","IV","ydl070w",-112.141751898605,107.767973332689
NA,NA,NA,NA,"sim1","yil123w","ORF","128151-129581","+","IX","yil123w",-111.015272838432,147.743076959819
NA,NA,NA,NA,"trp3","ykl211c","ORF","36699-38153","-","XI","ykl211c",-110.976265832578,104.662673404153
"rpp1b",0,1,0,"rpp1b","ydl130w","ORF","229906-230527","+","IV","ydl130w",-110.89484066798,-383.850607445247
NA,NA,NA,NA,"ydr209c","ydr209c","ORF","871036-871449","-","IV","ydr209c",-110.648683859007,137.186421985665
"eft2",0,0,1,"eft2","ydr385w","ORF","1243230-1245758","+","IV","ydr385w",-110.531247213586,43.830619133923
NA,NA,NA,NA,"rvb1","ydr190c","ORF","840604-841995","-","IV","ydr190c",-109.558288429481,89.9086621873716
NA,NA,NA,NA,"ils1","ybl076c","ORF","81043-84261","-","II","ybl076c",-107.825921092132,52.2254005312954
NA,NA,NA,NA,"yor263c","yor263c","ORF","818757-819164","-","XV","yor263c",-107.338150437364,70.2794807563291
NA,NA,NA,NA,"rpf1","yhr088w","ORF","281495-282382","+","VIII","yhr088w",-107.179523140539,-8.32313608819992
NA,NA,NA,NA,"pho13","ydl236w","ORF","32296-33234","+","IV","ydl236w",-107.088653871479,112.236878348465
NA,NA,NA,NA,"cct7","yjl111w","ORF","207877-209529","+","X","yjl111w",-104.937542030769,70.1901607765374
NA,NA,NA,NA,"ydr467c","ydr467c","ORF","1397583-1397909","-","IV","ydr467c",-104.659323289953,134.071365610984
NA,NA,NA,NA,"rpl31b","ylr406c","ORF","931065-931755","-","XII","ylr406c",-104.0248256534,-455.748595496647
"met5",0,0,1,"met5","yjr137c","ORF","678957-683285","-","X","yjr137c",-103.695620357157,111.601522415048
NA,NA,NA,NA,"thr1","yhr025w","ORF","159438-160511","+","VIII","yhr025w",-103.324696516813,135.385211299536
NA,NA,NA,NA,"yol014w","yol014w","ORF","299693-300067","+","XV","yol014w",-102.776703072004,109.093783833644
NA,NA,NA,NA,"hip1","ygr191w","ORF","880420-882231","+","VII","ygr191w",-102.104608319324,109.132075772058
NA,NA,NA,NA,"rpl5","ypl131w","ORF","303121-304014","+","XVI","ypl131w",-101.524647654202,-377.525613499456
NA,NA,NA,NA,"gdh1","yor375c","ORF","1041678-1043042","-","XV","yor375c",-101.420535951786,161.080117622193
NA,NA,NA,NA,"bdf1","ylr399c","ORF","919536-921596","-","XII","ylr399c",-101.062128335145,127.527061469847
NA,NA,NA,NA,"ipp1","ybr011c","ORF","257112-257975","-","II","ybr011c",-100.496415668722,177.667598081508
NA,NA,NA,NA,"ybr287w","ybr287w","ORF","776571-777854","+","II","ybr287w",-100.377985882318,169.135940054358
NA,NA,NA,NA,"erg3","ylr056w","ORF","253861-254958","+","XII","ylr056w",-100.227399671896,83.6349198028618
NA,NA,NA,NA,"gas5","yol030w","ORF","268187-269641","+","XV","yol030w",-100.05534463181,15.5683190856299
NA,NA,NA,NA,"tpo3","ypr156c","ORF","837909-839777","-","XVI","ypr156c",-100.01887660049,178.457311129022
"rpl21b",0,1,0,"rpl21b","ypl079w","ORF","406636-407539","+","XVI","ypl079w",-99.787068391863,-650.140983295603
NA,NA,NA,NA,"kri1","ynl308c","ORF","54122-55897","-","XIV","ynl308c",-99.1195969432019,10.7693073747623
NA,NA,NA,NA,"scw4","ygr279c","ORF","1048798-1049958","-","VII","ygr279c",-98.6705496873515,59.0212541779981
NA,NA,NA,NA,"srv2","ynl138w","ORF","366741-368321","+","XIV","ynl138w",-98.6472290097849,133.748978210919
"sok1",0,1,0,"sok1","ydr006c","ORF","458542-461247","-","IV","ydr006c",-98.4672219831805,114.347670007958
NA,NA,NA,NA,"tub3","yml124c","ORF","22048-23683","-","XIII","yml124c",-98.3498424601637,79.6876295721875
"abp1",0,0.5,0.5,"abp1","ycr088w","ORF","265068-266846","+","III","ycr088w",-97.7618310724224,154.656395296792
NA,NA,NA,NA,"fit3","yor383c","ORF","1060441-1061055","-","XV","yor383c",-97.4153486554924,155.257604769113
NA,NA,NA,NA,"kre6","ypr159w","ORF","857583-859745","+","XVI","ypr159w",-96.7077282394719,98.1632467148379
NA,NA,NA,NA,"rpn7","ypr108w","ORF","742454-743743","+","XVI","ypr108w",-96.4274991283407,149.762503160876
NA,NA,NA,NA,"ssh1","ybr283c","ORF","768943-770415","-","II","ybr283c",-96.3238955362588,77.3583212488879
NA,NA,NA,NA,"ptc2","yer089c","ORF","335946-337340","-","V","yer089c",-95.5231767081165,104.815873260411
"dug1",0,1,0,"dug1","yfr044c","ORF","239992-241437","-","VI","yfr044c",-95.4349792624724,145.638099930826
NA,NA,NA,NA,"plb3","yol011w","ORF","305349-307409","+","XV","yol011w",-94.8264419535563,133.939039500522
NA,NA,NA,NA,"ies5","yer092w","ORF","342855-343232","+","V","yer092w",-94.8176722975211,102.440497858203
NA,NA,NA,NA,"rvs167","ydr388w","ORF","1250186-1251634","+","IV","ydr388w",-93.9534040777616,198.987440617507
NA,NA,NA,NA,"ynr021w","ynr021w","ORF","668377-669591","+","XIV","ynr021w",-93.7565155790449,94.1072523475158
NA,NA,NA,NA,"uba1","ykl210w","ORF","39163-42237","+","XI","ykl210w",-93.7126273672617,122.817604107246
NA,NA,NA,NA,"adi1","ymr009w","ORF","284102-284641","+","XIII","ymr009w",-93.3820580132874,142.247305783202
NA,NA,NA,NA,"slx9","ygr081c","ORF","643148-643780","-","VII","ygr081c",-93.1794193937792,57.7647988457213
NA,NA,NA,NA,"kre1","ynl322c","ORF","33294-34235","-","XIV","ynl322c",-92.9648837078938,112.719378361502
NA,NA,NA,NA,"cdc60","ypl160w","ORF","246990-250262","+","XVI","ypl160w",-92.5770028939845,85.5381898766111
NA,NA,NA,NA,"smm1","ynr015w","ORF","653387-654541","+","XIV","ynr015w",-91.9141311344104,65.4015205002525
NA,NA,NA,NA,"prm5","yil117c","ORF","140613-141569","-","IX","yil117c",-91.7656296938275,127.533853261463
NA,NA,NA,NA,"trp4","ydr354w","ORF","1184747-1185889","+","IV","ydr354w",-91.1589286121237,78.3482553672512
NA,NA,NA,NA,"ynr025c","ynr025c","ORF","672702-673061","-","XIV","ynr025c",-90.1740154697103,59.5957147135696
NA,NA,NA,NA,"svs1","ypl163c","ORF","241918-242700","-","XVI","ypl163c",-90.0243804245596,52.8990758522504
"tal1",0,1,0,"tal1","ylr354c","ORF","836350-837357","-","XII","ylr354c",-89.7926709604162,252.929730582451
NA,NA,NA,NA,"cap2","yil034c","ORF","289226-290089","-","IX","yil034c",-89.6832391176286,145.790865342294
NA,NA,NA,NA,"trp5","ygl026c","ORF","446412-448535","-","VII","ygl026c",-89.5128864372869,62.7591383205946
NA,NA,NA,NA,"nhp6a","ypr052c","ORF","665693-665974","-","XVI","ypr052c",-89.4390382599649,17.2597358604328
NA,NA,NA,NA,"coa4","ylr218c","ORF","573466-573918","-","XII","ylr218c",-88.8763288070775,123.356220166994
NA,NA,NA,NA,"ybr096w","ybr096w","ORF","436021-436713","+","II","ybr096w",-88.8133881442986,124.726952224535
NA,NA,NA,NA,"gdt1","ybr187w","ORF","602634-603476","+","II","ybr187w",-88.3252223235225,68.2485112967017
NA,NA,NA,NA,"his4","ycl030c","ORF","65934-68333","-","III","ycl030c",-88.1416152670106,185.095550735286
"sla1",0,0,1,"sla1","ybl007c","ORF","212632-216366","-","II","ybl007c",-88.0984465375492,113.587859547334
NA,NA,NA,NA,"grh1","ydr517w","ORF","1477239-1478357","+","IV","ydr517w",-88.0955149541524,171.616140299845
NA,NA,NA,NA,"sec24","yil109c","ORF","157385-160165","-","IX","yil109c",-87.7304931199327,104.779521512363
NA,NA,NA,NA,"yer138w-a","yer138w-a","ORF","449474-449578","+","V","yer138w-a",-87.4305247547169,75.3277136002375
NA,NA,NA,NA,"rpb10","yor210w","ORF","738320-738532","+","XV","yor210w",-86.9681447865757,71.918915493872
"pub1",0,0,1,"pub1","ynl016w","ORF","602907-604268","+","XIV","ynl016w",-86.931008051879,80.5363867416728
NA,NA,NA,NA,"ygr190c","ygr190c","ORF","880296-880661","-","VII","ygr190c",-86.9293034970982,95.9181329311629
"ppz1",0,0,1,"ppz1","yml016c","ORF","239458-241536","-","XIII","yml016c",-86.5381331749673,100.523618437627
NA,NA,NA,NA,"pdr17","ynl264c","ORF","145563-146615","-","XIV","ynl264c",-86.3079341422118,84.6503183735164
NA,NA,NA,NA,"gsh1","yjl101c","ORF","234320-236356","-","X","yjl101c",-86.2811156891153,91.3634833684476
"coq5",0,0,1,"coq5","yml110c","ORF","50031-50954","-","XIII","yml110c",-85.1882986105842,129.323887357079
NA,NA,NA,NA,"ics2","ybr157c","ORF","553543-554310","-","II","ybr157c",-85.1173954116013,90.7844851981665
NA,NA,NA,NA,"ynl234w","ynl234w","ORF","210233-211513","+","XIV","ynl234w",-85.060352860423,28.7839927411577
NA,NA,NA,NA,"ylr257w","ylr257w","ORF","658826-659791","+","XII","ylr257w",-85.0095259308996,443.447747228956
NA,NA,NA,NA,"rpn3","yer021w","ORF","196948-198519","+","V","yer021w",-84.9736023388808,117.180599546263
NA,NA,NA,NA,"gcv2","ymr189w","ORF","637500-640604","+","XIII","ymr189w",-83.9868619654293,89.1220755460371
NA,NA,NA,NA,"prt1","yor361c","ORF","1015361-1017652","-","XV","yor361c",-83.9208848844454,-33.4397538429278
"rpl17b",0,0,1,"rpl17b","yjl177w","ORF","90786-91657","+","X","yjl177w",-83.7143835380051,-366.720609093555
NA,NA,NA,NA,"rpt4","yor259c","ORF","812395-813708","-","XV","yor259c",-82.5662933510323,116.926885882881
NA,NA,NA,NA,"gly1","yel046c","ORF","67629-68792","-","V","yel046c",-82.5361258549189,-63.3343789537367
"sac6",0,0,1,"sac6","ydr129c","ORF","713340-715379","-","IV","ydr129c",-82.2087528162649,267.109679223115
